Symbol	GOs
stx16	GO:0000149,GO:0005484,GO:0005484,GO:0006886,GO:0006886,GO:0006906,GO:0012505,GO:0016020,GO:0016192,GO:0031201,GO:0048278
LOC117817320	GO:0005737,GO:0005829,GO:0016279,GO:0018022
cnpy2	GO:0005783
LOC117819000	GO:0005381,GO:0005384,GO:0005886,GO:0015086,GO:0030001,GO:0030001
LOC117818991	GO:0005515,GO:0005737
npepl1	GO:0005737,GO:0005737,GO:0006508,GO:0030145,GO:0030145,GO:0070006,GO:0070006
ctsz	GO:0004197,GO:0005615,GO:0005764,GO:0051603
nelfcd	GO:0003723,GO:0005634,GO:0005634,GO:0032021,GO:0034244
kdm5ba	GO:0003677,GO:0005634,GO:0006338,GO:0032452
rabif	GO:0005085,GO:0005085,GO:0005829,GO:0006892,GO:0007264,GO:0007264,GO:0008270,GO:0016020
adipor1a	GO:0005886,GO:0033211,GO:0038023
inavab	GO:0031398,GO:0034334
gpr25	GO:0004930,GO:0006955,GO:0007186,GO:0016020
LOC117827462	GO:0005125,GO:0005576,GO:0005615,GO:0008083,GO:0060395
si:ch1073-456m8.1	NA
avil	GO:0005546,GO:0005737,GO:0007010,GO:0008154,GO:0015629,GO:0051014,GO:0051015,GO:0051015,GO:0051016
olfml3b	GO:0005615,GO:0007165
cdk2	GO:0000082,GO:0000307,GO:0004693,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0006468,GO:0007165,GO:0010389,GO:0010468,GO:0030332
pmela	GO:0032438,GO:0042470
prph	GO:0005198,GO:0005886,GO:0030424,GO:0045098
timeless	GO:0000076,GO:0003677,GO:0006281,GO:0031298,GO:0043111
LOC117820607	GO:0005886
mmp19	GO:0004222,GO:0004222,GO:0006508,GO:0008270,GO:0030198,GO:0030574,GO:0031012
suox	GO:0005739,GO:0016491,GO:0020037,GO:0030151
mcrs1	GO:0002151,GO:0005515,GO:0031011,GO:0044545,GO:0045944,GO:0071339
LOC117815730	GO:0004497,GO:0005506,GO:0005743,GO:0006700,GO:0006704,GO:0008203,GO:0016705,GO:0020037,GO:0034650,GO:0071375
mettl1	GO:0008176,GO:0008176,GO:0030488,GO:0036265,GO:0043527
LOC117823554	GO:0004842,GO:0008270,GO:0016567
cdk4	GO:0000082,GO:0000307,GO:0004693,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0006468,GO:0007165,GO:0010389,GO:0010468,GO:0030332
LOC117824251	GO:0003924,GO:0005096,GO:0005515,GO:0005525,GO:0005634
LOC117817575	GO:0046488,GO:0052742
LOC117810035	GO:0001968,GO:0005576,GO:0005615,GO:0031994,GO:0031995,GO:0043567
LOC117809901	GO:0005515
LOC117812765	GO:0005886,GO:0015629,GO:0051015,GO:0051017
znf740a	GO:0000122,GO:0000978,GO:0001228,GO:0001817,GO:0002682,GO:0005634,GO:0007417
LOC117810124	NA
smug1	GO:0000703,GO:0006284,GO:0006284,GO:0017065,GO:0017065
calcoco1b	NA
LOC117816854	GO:0000978,GO:0004879,GO:0005634,GO:0005634,GO:0005667,GO:0006357,GO:0008270,GO:0035259,GO:0048384,GO:0071376
LOC117820075	GO:0005758,GO:0015035,GO:0022417,GO:0045041
uroc1	GO:0006548,GO:0016153,GO:0016153
LOC117815332	GO:0002224,GO:0004683,GO:0005516,GO:0005524,GO:0005634,GO:0005737,GO:0009931,GO:0018105,GO:0034097,GO:0035556,GO:0046777,GO:0051019
pfkfb4b	GO:0003873,GO:0003873,GO:0004331,GO:0005524,GO:0005524,GO:0005829,GO:0006000,GO:0006003,GO:0006003
arpc4	GO:0005885,GO:0005885,GO:0015629,GO:0015629,GO:0030041,GO:0030041,GO:0034314,GO:0034314,GO:0051015
LOC117813130	GO:0003924,GO:0005525,GO:0005764,GO:0005770,GO:0008333,GO:0045335,GO:0090385
LOC117817769	NA
si:ch211-157b11.8	GO:0005615,GO:0062023
gata2b	GO:0000122,GO:0000978,GO:0000981,GO:0000981,GO:0005634,GO:0008270,GO:0045165,GO:0045766,GO:0045944,GO:1902895
eefsec	GO:0001514,GO:0003746,GO:0003924,GO:0005525
ruvbl1	GO:0000492,GO:0000812,GO:0003678,GO:0005524,GO:0006338,GO:0006357,GO:0016573,GO:0016887,GO:0031011,GO:0035267,GO:0097255
mustn1a	GO:0002062,GO:0005634,GO:0035988,GO:0042246
rft1	GO:0005789,GO:0006488,GO:0006488,GO:0034203
prkcda	GO:0004697,GO:0005524,GO:0018105,GO:0035556
LOC117814012	NA
LOC117813977	GO:0005085,GO:0005737,GO:0046872
ccdc174	GO:0005634
tatdn2	GO:0016788
vhl	NA
LOC117827902	GO:0001992,GO:0005000,GO:0005000,GO:0007186,GO:0007186,GO:0016020,GO:0042277,GO:0045907
crbn	GO:0016567,GO:0031464
LOC117819023	NA
pa2g4a	NA
erbb3a	GO:0004713,GO:0005524,GO:0006468,GO:0007169,GO:0007169,GO:0007275,GO:0007399,GO:0008284,GO:0009925,GO:0033674,GO:0038131,GO:0038132,GO:0043235
