Symbol	GOs
cisd2	GO:0000422,GO:0005741,GO:0010506,GO:0043231,GO:0051537,GO:0051537
si:dkey-162b23.4	GO:0015297,GO:0016020,GO:1902600
bdh2	GO:0003858,GO:0005737,GO:0019290
tacr3a	GO:0004995,GO:0004995,GO:0005886,GO:0005886,GO:0007186,GO:0007186,GO:0097225,GO:1902093
cnga1a	GO:0005222,GO:0005223,GO:0005249,GO:0005886,GO:0006813,GO:0017071,GO:0030553,GO:0044877,GO:0098655
enam	NA
scpp5	NA
scpp7	NA
LOC117816280	NA
LOC117815425	NA
odam	NA
LOC117815239	NA
sparcl1	GO:0005509,GO:0005509,GO:0005515,GO:0005518,GO:0005615,GO:0005615,GO:0048856,GO:0050840
scpp1	GO:0001503,GO:0007155
trnai-aau_27	NA
aptx	GO:0000012,GO:0003697,GO:0003725,GO:0005515,GO:0005634,GO:0006302,GO:0030983,GO:0033699,GO:1990165
dnaja1	GO:0005524,GO:0005737,GO:0005829,GO:0009408,GO:0030544,GO:0042026,GO:0051082
smu1b	GO:0000398,GO:0005515,GO:0071011
LOC117816342	GO:0005811,GO:0005829,GO:0010890,GO:0019915
rps6	GO:0003735,GO:0003735,GO:0005840,GO:0005840,GO:0006412,GO:0006412
acer2	GO:0006672,GO:0006672,GO:0016020,GO:0016020,GO:0016811,GO:0016811
LOC117816522	GO:0016020,GO:0016020,GO:0051604,GO:0072659,GO:1900746
mttp	GO:0005548,GO:0005783,GO:0005794,GO:0006869,GO:0008289,GO:0016323,GO:0042157,GO:0042632
LOC117816447	NA
LOC117816446	GO:0005515,GO:0005615,GO:1904862
LOC117816444	NA
LOC117816643	NA
LOC117816645	GO:0004784,GO:0005507,GO:0019430
LOC117816642	GO:0003723,GO:0003724,GO:0005524,GO:0005622,GO:0005681
LOC117816309	GO:0016020,GO:0022857,GO:0055085
LOC117816396	GO:0016020,GO:0022857,GO:0055085
LOC117816282	GO:0016020,GO:0022857,GO:0055085
LOC117816419	GO:0016020,GO:0022857,GO:0055085
synpo2b	GO:0003779,GO:0005634,GO:0015629,GO:0030018,GO:0032233
myoz2b	GO:0003779,GO:0015629,GO:0030018,GO:0030018,GO:0031433,GO:0051373
usp53b	GO:0004843,GO:0005911,GO:0007605,GO:0010996,GO:0016579
fabp2	GO:0005504,GO:0005634,GO:0005829,GO:0015908
gucy1b1	GO:0004383,GO:0004383,GO:0006182,GO:0006182,GO:0008074,GO:0019934,GO:0020037,GO:0070482
gucy1a1	GO:0004383,GO:0004383,GO:0006182,GO:0006182,GO:0008074,GO:0019934,GO:0020037,GO:0070482
LOC117816366	NA
ufsp2	NA
cfap97	GO:0007283
slc25a4	GO:0005471,GO:0005471,GO:0005743,GO:0005743,GO:0140021,GO:0140021,GO:1990544,GO:1990544
helt	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952,GO:0046983,GO:0050767
acsl1a	GO:0000038,GO:0001676,GO:0005783,GO:0016020,GO:0035338,GO:0047676
primpol	GO:0003682,GO:0003887,GO:0003896,GO:0005634,GO:0005759,GO:0006264,GO:0009411,GO:0031297,GO:0042276
si:ch211-145b13.6	GO:0003950,GO:0106274
LOC117816031	GO:0004995,GO:0004995,GO:0005886,GO:0005886,GO:0007186,GO:0007186,GO:0097225,GO:1902093
LOC117816032	GO:0016020
acy3.2	GO:0004046,GO:0016788
dnajb14	GO:0005789,GO:0030433,GO:0030544,GO:0051085,GO:0071218
pla2g12a	GO:0004623,GO:0004623,GO:0005509,GO:0005509,GO:0005576,GO:0005576,GO:0006644,GO:0016042,GO:0016042,GO:0050482
LOC117815383	GO:0005737,GO:0006508,GO:0006508,GO:0006915,GO:0097200
LOC117815384	NA
LOC117815382	GO:0005737,GO:0006508,GO:0006508,GO:0006915,GO:0097200
LOC117816091	GO:0005737,GO:0006508,GO:0006508,GO:0006915,GO:0097200
LOC117816090	GO:0005743,GO:0019855,GO:0036444,GO:0051560,GO:1990246
LOC117816092	NA
lef1	GO:0000978,GO:0000981,GO:0006357,GO:0060070,GO:1990907
LOC117815225	GO:0003857,GO:0005739,GO:0006635,GO:0070403
LOC117816226	GO:0003857,GO:0005739,GO:0006635,GO:0070403
LOC117816558	GO:0005506,GO:0005737,GO:0006082,GO:0006805,GO:0016712,GO:0016712,GO:0020037,GO:0020037,GO:0043231
sgms2a	GO:0000139,GO:0005789,GO:0006686,GO:0033188,GO:0046513,GO:0047493
papss1	GO:0000103,GO:0000103,GO:0004020,GO:0004020,GO:0004781,GO:0005524,GO:0050428
dkk2	GO:0005576,GO:0005615,GO:0007275,GO:0039706,GO:0048019,GO:0090090
LOC117815456	GO:0000049
tbck	GO:0004672,GO:0005096,GO:0005524,GO:0006468,GO:0090630
LOC117815457	NA
LOC117815455	GO:0005506,GO:0005515,GO:0016702,GO:0016702,GO:0034440,GO:0043651
LOC117815566	GO:0005506,GO:0005515,GO:0016702,GO:0016702,GO:0034440,GO:0043651
npnta	GO:0005509,GO:0016020
gstcd	NA
ints12	GO:0032039,GO:0034472
arhgef38	GO:0005085,GO:0005515,GO:0005737,GO:0035556
ppa2	GO:0000287,GO:0000287,GO:0004427,GO:0004427,GO:0005737,GO:0005737,GO:0006796,GO:0006796
tet2	GO:0005634,GO:0006211,GO:0030099,GO:0045944,GO:0070579,GO:0070989,GO:0080111
cxxc4	GO:0005634,GO:0008270,GO:0008327
LOC117816327	NA
cdkn2a/b	GO:0000079,GO:0004861,GO:0005634,GO:0008285,GO:0019901
mtap	GO:0005829,GO:0009116,GO:0017061,GO:0017061,GO:0019509
toporsa	GO:0000209,GO:0006513,GO:0061630
ndufb6	GO:0005747,GO:0005747,GO:0006120,GO:0006120,GO:0042775
LOC117815268	GO:0005758,GO:0015914,GO:1990050
mxd4	GO:0000978,GO:0000981,GO:0006357,GO:0046983
LOC117816564	NA
pdcd4a	GO:0005634,GO:0005829,GO:0045892
mogs	GO:0004573,GO:0005789,GO:0006487,GO:0009311
LOC117815795	NA
LOC117815794	GO:0000978,GO:0000981,GO:0006357
fbxo41	GO:0005515
smox	GO:0046592
rnf24	GO:0008270,GO:0012505,GO:0061630
LOC117816315	NA
ccdc86	GO:0005730
LOC117815390	GO:0016702,GO:0046872
glb1	GO:0004565,GO:0004565,GO:0005773,GO:0005975,GO:0005975
herc3	GO:0004842
fam13a	GO:0007165
zgc:154142	GO:0004252,GO:0004252,GO:0005615,GO:0006508
gprin3	GO:0005886,GO:0031175
elmod2	GO:0005096,GO:0016020
ucp1	GO:0006839,GO:0009409,GO:0017077,GO:0031966,GO:1990542,GO:1990845
tbc1d9	NA
LOC117815385	NA
rnf150a	NA
znf330	GO:0005634,GO:0005634,GO:0008270,GO:0008270
LOC117815413	GO:0001819,GO:0005125,GO:0005126,GO:0005126,GO:0005576,GO:0005576,GO:0005615,GO:0006955,GO:0006955,GO:0042102,GO:0042119,GO:0042531,GO:0050778
inpp4b	GO:0005737,GO:0016316
LOC117815647	NA
LOC117815644	NA
LOC117815645	GO:0004842,GO:0005634
gab1	NA
usp38	GO:0004197,GO:0004843,GO:0004843,GO:0005634,GO:0005829,GO:0006511,GO:0016579,GO:0016579
smarca5	GO:0000785,GO:0003677,GO:0003677,GO:0005524,GO:0005634,GO:0005634,GO:0006357,GO:0016887,GO:0031491,GO:0034728,GO:0042393,GO:0140658,GO:0140658
frem3	GO:0007154,GO:0016020
si:dkey-27h10.2	NA
LOC117816666	NA
hhip	NA
smad1	GO:0000978,GO:0000981,GO:0006357,GO:0007179,GO:0007179,GO:0009653,GO:0030154,GO:0030509,GO:0060395,GO:0070411,GO:0071144
mmaa	GO:0003924,GO:0003924,GO:0005525,GO:0005525,GO:0005737
znf827	GO:0005634,GO:0010468
lsm6	GO:0000398,GO:0000932,GO:0003723,GO:0003723,GO:0005688,GO:0005730,GO:0005732,GO:0030490,GO:0046540
pou4f2	GO:0000978,GO:0000981,GO:0000981,GO:0006357
ednraa	GO:0004962,GO:0007186,GO:0008217,GO:0016020,GO:0042310,GO:0048484
tmem184c	GO:0005215,GO:0006810
prmt9	GO:0005515,GO:0018216,GO:0018216,GO:0035241
arhgap10	GO:0005096,GO:0005515,GO:0005737,GO:0007165
nr3c2	GO:0003700,GO:0006355,GO:0008270,GO:0043565
dclk2a	GO:0004672,GO:0005524,GO:0006468,GO:0015630,GO:0035556
lrba	GO:0005829,GO:0008104,GO:0016020,GO:0019901
mab21l2	NA
rps3a	GO:0003735,GO:0005829,GO:0005840,GO:0006412
sh3d19	GO:0005515,GO:0033565,GO:0043328
fam160a1a	NA
gatb	GO:0032543,GO:0050567,GO:0070681
dctpp1	GO:0009143,GO:0047429
LOC117816690	NA
LOC117816691	NA
fbxw7	GO:0005634,GO:0005737,GO:0010992,GO:0043130,GO:0043161
LOC117815428	NA
tmem154	NA
tma16	GO:0005634
march1	GO:0000209,GO:0002495,GO:0005737,GO:0005764,GO:0006955,GO:0008270,GO:0031901,GO:0031902,GO:0042287,GO:0061630
LOC117815705	NA
apela	GO:0007507,GO:0031704,GO:0060183
tmem192	GO:0005765,GO:0005770
LOC117815290	GO:0001725,GO:0032034,GO:0051496,GO:0051893
uchl1	GO:0004843,GO:0004843,GO:0005737,GO:0006511,GO:0006511,GO:0016579
LOC117815401	GO:0005524,GO:0005886,GO:0016887,GO:0140359
pkd2	GO:0005102,GO:0005245,GO:0005248,GO:0005267,GO:0005509,GO:0005509,GO:0016020,GO:0016020,GO:0050982,GO:0051209,GO:0051371,GO:0071805
g3bp2	GO:0003729,GO:0005829,GO:1990904
uso1	GO:0000139,GO:0005515,GO:0005737,GO:0005783,GO:0005795,GO:0006886,GO:0006886,GO:0006888,GO:0012507,GO:0045056,GO:0048211,GO:0048280
coro2a	GO:0007015,GO:0051015
anp32b	GO:0005634,GO:0042393,GO:0042981
hemgn	NA
trmo	GO:0016430
spag5	GO:0051301,GO:0051988
foxe1	GO:0000978,GO:0000981,GO:0006357,GO:0009653,GO:0030154
sh3gl2a	GO:0005515,GO:0005737,GO:0016191,GO:0098793,GO:0098978
cntln	GO:0005813,GO:0005814,GO:0010457,GO:0033365
bnc2	GO:0005634,GO:0006355
LOC117816400	NA
LOC117816401	NA
LOC117816338	NA
psip1a	GO:0003690,GO:0003712,GO:0005634,GO:0006357
snapc3	GO:0000978,GO:0001006,GO:0001046,GO:0003681,GO:0019185,GO:0042795,GO:0042796
LOC117815906	GO:0005515
ptcd1	GO:0000049,GO:0005515,GO:0005759,GO:0042780
zgc:112980	NA
smcr8b	GO:0005096,GO:0032045
mief2	GO:0005741,GO:0007005,GO:0090141
alkbh5	GO:0005634,GO:0006397,GO:0006406,GO:0035515,GO:0035553
myo15ab	GO:0003774,GO:0005515,GO:0005524,GO:0005856,GO:0016459
grin2ab	GO:0004972,GO:0005886,GO:0006811,GO:0017146,GO:0035249,GO:0045211,GO:0060079,GO:0060291,GO:0098839,GO:1904315
zgc:77849	NA
abcg2b	GO:0005524,GO:0005886,GO:0016887,GO:0140359
LOC117815669	GO:0008270
LOC117815575	GO:0005885,GO:0005885,GO:0015629,GO:0015629,GO:0034314,GO:0034314,GO:0051015
LOC117816320	GO:0005885,GO:0005885,GO:0015629,GO:0015629,GO:0034314,GO:0034314,GO:0051015
LOC117815338	GO:0016020,GO:0016020,GO:0140911
radil	GO:0001755,GO:0005874,GO:0007165,GO:0034446,GO:0051020
foxk1	GO:0000978,GO:0000981,GO:0005515,GO:0006357
LOC117816145	GO:0005506,GO:0008395,GO:0016712,GO:0020037
LOC117816146	GO:0005506,GO:0008395,GO:0016712,GO:0020037
gpank1	GO:0003676,GO:0005515
LOC117815712	GO:0000978,GO:0000981,GO:0006357
LOC117815576	GO:0000978,GO:0003700,GO:0006357
sdk1b	GO:0005515,GO:0098609
gna12a	GO:0003924,GO:0003924,GO:0005834,GO:0007188,GO:0007266,GO:0007266,GO:0019001,GO:0019001,GO:0031526,GO:0031683,GO:0031683,GO:0031752
ern2	GO:0004521,GO:0004674,GO:0005524,GO:0006397,GO:0006468,GO:0036498,GO:0051082,GO:0070059,GO:1990604
LOC117815314	GO:0008146,GO:0008146,GO:0016020,GO:0016020,GO:0016051,GO:0030166
eif3ba	GO:0003723,GO:0003723,GO:0003743,GO:0003743,GO:0005852,GO:0005852,GO:0006413,GO:0006413,GO:0031369,GO:0031369
LOC117816706	NA
brat1	GO:0001934,GO:0005634,GO:0006974,GO:0008283
LOC117816344	GO:0005515
slc5a10	GO:0005412,GO:0005886,GO:0055085
LOC117816369	NA
chtf18	GO:0005524,GO:0016887
gng13a	GO:0005834,GO:0007200,GO:0031681,GO:0050909
LOC117816005	NA
LOC117816708	NA
LOC117816705	NA
si:dkeyp-9d4.3	GO:0005515
socs1b	GO:0005942,GO:0046854,GO:0046935
LOC117816167	GO:0005753
LOC117815993	GO:0004697,GO:0005524,GO:0006468,GO:0008270
LOC117816259	GO:0005245,GO:0006816,GO:0016247,GO:0019226,GO:0032281,GO:0051968,GO:0098839,GO:0098943,GO:0098970,GO:0099590,GO:2000311
trnal-aag	NA
LOC117816421	GO:0003676,GO:0005634,GO:0006397,GO:0006511,GO:0008270,GO:0016567,GO:0016567,GO:0061630
LOC117816362	GO:0030672,GO:0031594
zgc:136472	GO:0005783,GO:0006457,GO:0034976
si:dkeyp-75b4.8	GO:0008270
pdia2	GO:0003756,GO:0003756,GO:0005783,GO:0006457,GO:0034976
LOC117816154	NA
LOC117816152	GO:0002224,GO:0002224,GO:0004888,GO:0004888,GO:0005515,GO:0006954,GO:0006955,GO:0006955,GO:0016020,GO:0016020,GO:0042497
tmem131l	GO:0016020
mnd1	GO:0003690,GO:0003690,GO:0005634,GO:0007131,GO:0007131
LOC117816353	NA
trim2a	GO:0000209,GO:0005515,GO:0008270,GO:0017148,GO:0030371,GO:0043161,GO:0061630
fhdc1	NA
arfip1	GO:0005543,GO:0006886,GO:0019904,GO:0032588,GO:0034315
LOC117816256	NA
fam193a	NA
tnip2	GO:0006357,GO:0070530,GO:0071222
sfrp2	GO:0005615,GO:0017147,GO:0035567,GO:0060070,GO:0090090
LOC117816675	NA
dchs2	GO:0005509,GO:0005886,GO:0007156
LOC117816097	GO:0007165
plrg1	GO:0000398,GO:0000974,GO:0005515,GO:0071011,GO:0071013
fgg	GO:0005102,GO:0005577,GO:0007596,GO:0030168,GO:0051258
LOC117815303	NA
lrata	GO:0042572,GO:0047173
si:dkey-30k22.5	GO:0042572,GO:0047173
npy2r	GO:0004983,GO:0007186,GO:0016020
LOC117815279	GO:0001725,GO:0003779,GO:0005912,GO:0007507,GO:0030018,GO:0030036,GO:0031941,GO:0051371,GO:0061061
LOC117815966	GO:0005515,GO:0005886
LOC117816373	NA
tlr3	GO:0002224,GO:0004888,GO:0005515,GO:0006954,GO:0006955,GO:0016020
LOC117816372	GO:0004497,GO:0005506,GO:0016705,GO:0020037
LOC117816287	NA
LOC117816288	NA
LOC117816549	NA
LOC117815297	GO:0003676,GO:0008270,GO:0015074
mtnr1aa	GO:0007186,GO:0007186,GO:0008502,GO:0016020
fat1a	GO:0005509,GO:0005886,GO:0007156
LOC117815389	NA
LOC117815817	NA
frg1	GO:0005730,GO:0051015,GO:0055120,GO:0071013
asah1b	GO:0005764,GO:0006631,GO:0017040,GO:0017064
pcm1	GO:0005813,GO:0005814,GO:0007098,GO:0034451,GO:0034454,GO:0035735,GO:0036064,GO:0060271,GO:0071539
sart1	GO:0000481,GO:0045292,GO:0046540,GO:0046540
LOC117815557	GO:0005829,GO:0015248,GO:0016020,GO:0032934,GO:0043231
casp3a	GO:0005737,GO:0006508,GO:0006508,GO:0006915,GO:0030182,GO:0030216,GO:0030218,GO:0043065,GO:0097153
LOC117816658	GO:0000977,GO:0001228,GO:0005634,GO:0005737,GO:0045944
tll1	GO:0004222,GO:0005509,GO:0006508,GO:0008270
LOC117816494	NA
cpe	GO:0004181,GO:0006508,GO:0008270
msmo1	GO:0000254,GO:0005506,GO:0016126
klhl2	GO:0005515
med28	GO:0016592
lap3	GO:0005737,GO:0005737,GO:0006508,GO:0030145,GO:0030145,GO:0070006,GO:0070006
clrn2	NA
tapt1b	GO:0005789,GO:0035437,GO:0036064,GO:0045724
prom1b	GO:0005902,GO:0005929,GO:0009986,GO:0015485,GO:0016324,GO:0071914
fgfbp2b	GO:0007267,GO:0019838
LOC117816111	GO:0007267,GO:0019838
anxa5b	GO:0005509,GO:0005509,GO:0005544,GO:0005737,GO:0050819
LOC117816397	GO:0004722,GO:0006470,GO:0043169
fbxl18	GO:0005515,GO:0031146
LOC117816174	NA
si:ch211-14k19.8	NA
LOC117815580	NA
LOC117815655	NA
LOC117815656	NA
pin1	GO:0003755,GO:0003755,GO:0005515,GO:0005634,GO:0005829
LOC117815256	GO:0005085,GO:0005085,GO:0005515,GO:0005737,GO:0016477,GO:0035556,GO:0043087
LOC117815583	GO:0005515
LOC117815593	GO:0001784,GO:0005085,GO:0007264,GO:0033138
LOC117815594	GO:0005515,GO:0007165,GO:0016020,GO:0016192
LOC117815337	GO:0005615,GO:0007165
LOC117815364	GO:0005201
LOC117815366	GO:0004303,GO:0005737,GO:0006703
palb2	GO:0000724,GO:0003677,GO:0005515,GO:0005654
plk1	GO:0000278,GO:0000922,GO:0004674,GO:0005515,GO:0005524,GO:0005634,GO:0005737,GO:0005813,GO:0006468,GO:0032465
rasd3	GO:0003924,GO:0005525
LOC117816634	GO:0001726,GO:0005737,GO:0005902,GO:0007163,GO:0015629,GO:0016477,GO:0030027,GO:0030175,GO:0030426,GO:0030674,GO:0031253,GO:0051015,GO:0051015,GO:0051017
LOC117816299	NA
iqce	GO:0005515
ttyh3b	GO:0005229,GO:0005886,GO:0072320
LOC117816640	GO:0000139,GO:0007389,GO:0008593,GO:0033829,GO:0033829
LOC117815386	GO:0004930,GO:0004930,GO:0007218,GO:0016020,GO:0042277
mad1l1	GO:0000776,GO:0005635,GO:0007094,GO:0007094,GO:0051315,GO:0072686
elfn1b	GO:0005515,GO:0005886
LOC117815283	NA
parn	GO:0000289,GO:0003723,GO:0003723,GO:0004535,GO:0004535,GO:0005634,GO:0005737,GO:0005737,GO:0046872
LOC117816423	GO:0003723,GO:0004527,GO:0005634
eri2	GO:0000175,GO:0000175,GO:0000467,GO:0003676,GO:0008270
thumpd1	GO:0003723,GO:0003723,GO:0006400,GO:0006400
LOC117815850	NA
LOC117815851	GO:0090090
LOC117815263	GO:0000127,GO:0003677,GO:0006384,GO:0042791
LOC117815266	NA
LOC117815265	GO:0005178,GO:0007155
LOC117815264	GO:0005178,GO:0007155
cdc37	GO:0005737,GO:0006457,GO:0019901,GO:0031072,GO:0050821,GO:0051082,GO:0051087
LOC117816566	GO:0004115,GO:0005634,GO:0005829,GO:0007165,GO:0048471
LOC117815902	GO:0005802,GO:0006886,GO:0006886,GO:0016192,GO:0031267,GO:0035091,GO:0043130
ears2	GO:0000049,GO:0004818,GO:0004818,GO:0005524,GO:0006424,GO:0006424,GO:0008270
LOC117815584	GO:0007160,GO:0009986
LOC117816379	GO:0008270
txndc11	NA
LOC117815585	NA
LOC117815325	GO:0000978,GO:0000981,GO:0006357
si:ch73-12o23.1	GO:0004558,GO:0005975,GO:0030246
LOC117816238	GO:0005515
LOC117815307	GO:0000981,GO:0006355,GO:1990837
LOC117815673	GO:0005634
LOC117816131	GO:0005178,GO:0016020,GO:0098609
LOC117815586	GO:0005737
LOC117815994	GO:0005794,GO:0006810,GO:0016020,GO:0016020
LOC117815381	GO:0005737
LOC117815246	GO:0005516,GO:0005516,GO:0007026,GO:0030507,GO:0031122,GO:0031175,GO:0036449,GO:0051011
lpar2b	GO:0007186,GO:0016020,GO:0070915
LOC117815724	GO:0000785,GO:0005634,GO:0006338,GO:0032968,GO:0070577
akap8l	GO:0003677,GO:0003677,GO:0005634,GO:0005634
LOC117815742	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007224
LOC117815745	GO:0006486,GO:0006486,GO:0008499,GO:0016020,GO:0016020
LOC117815750	GO:0006486,GO:0006486,GO:0008499,GO:0016020,GO:0016020
LOC117815727	GO:0005515,GO:0005615
LOC117815747	NA
LOC117815725	NA
LOC117815740	GO:0005524,GO:0005739,GO:0006457,GO:0007005,GO:0009408,GO:0019901,GO:0031072,GO:0043066,GO:0051082
LOC117815756	GO:0005161,GO:0005615,GO:0008083,GO:0008284,GO:0016020,GO:0030335,GO:0031954,GO:0043406,GO:0048008,GO:0051897,GO:0070374
LOC117815732	NA
nptxrb	NA
LOC117815735	GO:0000226,GO:0005881,GO:0005929,GO:0008017
LOC117815760	GO:0007017,GO:0007017,GO:0030286,GO:0030286,GO:0045505,GO:0051959
fam20cl	GO:0005794,GO:0006468,GO:0016773
LOC117815723	GO:0005524,GO:0007018,GO:0007018,GO:0008569,GO:0008569,GO:0016887,GO:0030286,GO:0030286,GO:0045505,GO:0051959
baiap2l2b	GO:0005515,GO:0005654,GO:0005829,GO:0007009,GO:0030838,GO:0051017,GO:0051764
LOC117815759	GO:0005509,GO:0005509,GO:0005634,GO:0005737
ncf4	GO:0005515,GO:0006909,GO:0016176,GO:0016176,GO:0035091,GO:0042554,GO:0043020,GO:0045730
trnac-gca	NA
trnac-gca_1	NA
trnac-gca_2	NA
trnac-gca_3	NA
trnac-gca_4	NA
trnac-gca_5	NA
trnac-gca_6	NA
trnac-gca_7	NA
trnac-gca_8	NA
trnac-gca_9	NA
trnac-gca_10	NA
trnac-gca_11	NA
si:ch211-79m20.1	GO:0005161,GO:0005615,GO:0008083,GO:0008284,GO:0016020,GO:0030335,GO:0031954,GO:0043406,GO:0048008,GO:0051897,GO:0070374
trnac-gca_12	NA
trnac-gca_13	NA
trnac-gca_14	NA
trnac-gca_15	NA
trnac-gca_16	NA
trnac-gca_17	NA
trnac-gca_18	NA
trnac-gca_19	NA
trnac-gca_20	NA
trnac-gca_21	NA
trnac-gca_22	NA
trnac-gca_23	NA
trnac-gca_24	NA
trnac-gca_25	NA
trnac-gca_26	NA
trnac-gca_27	NA
trnac-gca_28	NA
trnac-gca_29	NA
trnac-gca_30	NA
trnac-gca_31	NA
trnac-gca_32	NA
trnac-gca_33	NA
LOC117815729	GO:0005635,GO:0006998,GO:0034993,GO:0043495
LOC117815754	GO:0004930,GO:0004930,GO:0007200,GO:0016020,GO:0035025
LOC117815751	GO:0004930,GO:0004930,GO:0007200,GO:0016020,GO:0035025
LOC117815749	GO:0003824
atf4a	GO:0000977,GO:0001228,GO:0005634,GO:0006357,GO:1990589,GO:1990590
rps19bp1	GO:0005730,GO:0019899
zgc:162544	GO:0004792,GO:0004792,GO:0005739,GO:0019346
LOC117815733	GO:0004896,GO:0009897,GO:0016064,GO:0019221
LOC117815726	GO:0004252,GO:0005515,GO:0006508
LOC117815761	NA
LOC117815762	NA
LOC117815744	GO:0001518,GO:0005248,GO:0005886,GO:0008332,GO:0019228,GO:0035725,GO:0043005,GO:0045956,GO:0070509,GO:0086010
LOC117815755	GO:0001518,GO:0005248,GO:0005886,GO:0008332,GO:0019228,GO:0035725,GO:0043005,GO:0070509,GO:0086010
LOC117815731	NA
LOC117815739	NA
LOC117815269	NA
LOC117816609	NA
LOC117815588	NA
lgals2b	GO:0005615,GO:0016936,GO:0030246,GO:0030246,GO:0043236,GO:0062023
LOC117816466	GO:0001604,GO:0001604,GO:0007218,GO:0008217,GO:0016020,GO:0097746
zgc:92360	GO:0005096,GO:0005886,GO:0043231,GO:0043547,GO:1902936
LOC117816431	NA
cacna1ia	GO:0001518,GO:0005248,GO:0005886,GO:0005891,GO:0008332,GO:0019228,GO:0035725,GO:0043005,GO:0045956,GO:0070509,GO:0070588,GO:0086010
LOC117815589	GO:0003712,GO:0005634,GO:0006357,GO:0043066,GO:0043123,GO:0045766
LOC117815590	GO:0003712,GO:0005634,GO:0006357,GO:0043066,GO:0043123,GO:0045766
grap2b	GO:0005515
fam83fb	NA
LOC117815306	NA
cyth4b	GO:0005085,GO:0032012
rac2	GO:0003924,GO:0003924,GO:0005525,GO:0005525,GO:0007264
LOC117815591	GO:0004252,GO:0006508
LOC117815277	GO:0004252,GO:0004252,GO:0006508
LOC117816050	GO:0004252,GO:0004252,GO:0006508
LOC117816083	GO:0004252,GO:0004252,GO:0005615,GO:0006508,GO:0006508
LOC117816084	GO:0004252,GO:0006508
LOC117816095	GO:0004994,GO:0007218,GO:0016020,GO:0042923,GO:0043005
LOC117816637	GO:0005507,GO:0010038,GO:0010038
LOC117816227	NA
LOC117816585	GO:0005245,GO:0005245,GO:0005891,GO:0016247,GO:0019226,GO:0032281,GO:0051968,GO:0070588,GO:0098839,GO:0098943,GO:0098970,GO:0099590,GO:2000311
ift27	GO:0003924,GO:0005525,GO:0005794
LOC117815662	GO:0030672,GO:0031594
tab1	GO:0004722,GO:0005829,GO:0006470
LOC117816173	NA
mgat3b	GO:0003830,GO:0003830,GO:0006044,GO:0006487,GO:0006487,GO:0016020,GO:0016020
LOC117815324	NA
c1qtnf6b	GO:0005515
LOC117815433	NA
LOC117815438	NA
LOC117815437	NA
LOC117815436	GO:0004252,GO:0005515,GO:0006508
gtpbp1l	GO:0003746,GO:0003924,GO:0005525,GO:0006414
LOC117816474	NA
LOC117816478	GO:0005515,GO:0005886
trnae-cuc_35	NA
LOC117816357	NA
mfng	GO:0008593,GO:0016020,GO:0033829
LOC117815252	GO:0005515
man2b1	GO:0004559,GO:0004559,GO:0005764,GO:0006013,GO:0030246
trmt1	GO:0002940,GO:0003723,GO:0003723,GO:0004809,GO:0004809,GO:0005634,GO:0046872
nacc1b	GO:0000978,GO:0000981,GO:0005515,GO:0006357
LOC117816262	GO:0000149,GO:0005484,GO:0006886,GO:0006906,GO:0012505,GO:0030672,GO:0031201,GO:0048193,GO:0048278
ier2b	NA
cacna1ab	GO:0005891,GO:0005891,GO:0007268,GO:0008331,GO:0016020,GO:0043025,GO:0098703
LOC117815595	GO:0005891,GO:0007268,GO:0008331,GO:0043025,GO:0098703
wdr83os	GO:0005789,GO:0005789,GO:0044183,GO:0044183,GO:0045048,GO:0045048
wdr83	GO:0000398,GO:0005515,GO:0071013
LOC117816365	GO:0008083,GO:0008083,GO:0030116,GO:0030971
LOC117816450	GO:0005634
ccdc130	GO:0000398,GO:0000398,GO:0005684,GO:0071014
LOC117815596	GO:0004866,GO:0005515,GO:0005576,GO:0005615
LOC117815953	NA
LOC117815597	NA
LOC117815950	NA
LOC117815954	NA
LOC117815941	NA
LOC117815598	NA
LOC117815949	NA
LOC117815939	NA
LOC117815944	NA
LOC117815948	NA
LOC117815955	NA
LOC117815599	NA
LOC117815934	NA
LOC117815600	NA
LOC117815601	GO:0016020,GO:0098609
LOC117815947	NA
LOC117815602	NA
LOC117815603	NA
LOC117815951	NA
LOC117815605	NA
LOC117815606	NA
LOC117815608	NA
LOC117815609	GO:0016020,GO:0098609
LOC117815937	NA
LOC117815921	GO:0016020,GO:0098609
LOC117815920	NA
LOC117815925	NA
LOC117815610	NA
LOC117815927	NA
LOC117815928	NA
LOC117815932	GO:0003723,GO:0005515,GO:0046872
atpv0e2	GO:0033179,GO:0033179,GO:0046961,GO:0046961,GO:1902600,GO:1902600
LOC117815612	NA
LOC117815942	GO:0003723,GO:0003723,GO:0003735,GO:0003735,GO:0005840,GO:0005840,GO:0006412,GO:0006412,GO:0022627
hoga1	GO:0008747,GO:0008840,GO:0019262
LOC117815924	GO:0005886,GO:0006810,GO:0010960,GO:0022857
LOC117815935	GO:0004069,GO:0005829,GO:0006532,GO:0030170
LOC117815946	NA
LOC117815926	GO:0009134,GO:0016020,GO:0017110
LOC117815923	GO:0005737
LOC117815943	NA
LOC117815936	GO:0015093,GO:0031966,GO:0048250
LOC117815952	NA
LOC117815938	GO:0000978,GO:0000981,GO:0000981,GO:0005634,GO:0006357,GO:0030154
LOC117815929	NA
