SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117811826	0	0	1	0	0	5	0	2	1	1	4	7	8	16	6
elmo2	13	24	3	7	3	29	8	5	7	8	133	81	130	130	58
arfgap1	234	430	79	80	81	197	55	31	44	62	777	736	739	435	279
LOC117814544	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0
LOC117817858	0	0	0	0	0	19	1	0	2	0	2	7	15	32	8
LOC117819015	847	1324	463	616	703	1136	414	384	252	512	72	151	309	614	503
LOC117814480	0	1	0	0	0	6	0	0	0	0	19	5	12	37	7
sys1	476	907	207	234	341	622	127	98	90	129	193	171	175	260	194
LOC117815658	3	5	2	3	5	8	6	3	7	9	6	18	30	85	83
LOC117815684	0	0	0	0	0	3	0	0	0	0	1	0	0	5	3
inpp1	189	229	99	188	102	211	53	33	36	48	54	62	147	355	178
dnajc14	49	46	18	18	32	67	21	13	32	17	256	219	469	997	387
nab2	4	5	5	2	4	23	2	5	7	1	16	16	40	131	65
zgc:113184	499	653	301	157	484	413	223	38	39	84	4	16	19	65	44
LOC117821046	147	111	9	22	13	67	107	37	11	14	28	24	82	99	96
dgkab	1	0	0	0	0	3	3	0	1	0	6	8	11	54	18
stx16	267	605	115	97	107	354	49	30	29	44	345	349	280	300	169
LOC117817320	6	7	13	3	2	8	4	7	6	3	5	7	12	14	11
cnpy2	531	833	264	248	346	375	153	122	113	90	114	70	266	386	224
LOC117819000	114	136	49	37	52	83	27	32	35	39	236	169	196	165	113
LOC117818991	364	251	186	164	252	241	74	47	56	89	327	250	312	264	178
npepl1	3424	3460	2924	3648	4215	2058	2616	2557	1957	3352	449	589	1183	1261	845
ctsz	338	408	229	360	304	920	306	320	295	271	163	357	577	663	772
nelfcd	1177	1185	1874	1390	1897	1227	1620	1281	879	1530	1766	1262	1164	845	474
kdm5ba	136	137	47	43	55	156	22	14	37	34	554	421	539	413	191
rabif	28	35	10	15	13	125	11	10	8	6	25	24	47	34	33
adipor1a	83	136	14	18	12	136	11	17	25	13	330	323	366	333	206
inavab	83	46	52	23	22	60	14	11	20	33	123	84	100	115	71
gpr25	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
LOC117827462	0	0	0	0	1	2	0	0	0	0	7	6	10	29	8
si:ch1073-456m8.1	293	256	288	306	328	151	227	81	104	186	82	107	161	296	207
avil	0	0	0	1	0	1	0	0	0	0	3	4	4	17	4
olfml3b	1	7	1	1	2	1	3	3	2	1	1	2	9	6	2
cdk2	795	1033	407	383	494	1192	301	168	170	265	2297	2102	2592	1853	1516
pmela	5	3	1	1	0	4	0	0	0	0	14	7	7	37	12
prph	0	0	0	0	0	5	1	0	0	0	4	3	4	18	6
timeless	310	221	289	368	277	256	96	34	74	133	879	583	1098	882	429
LOC117820607	4	7	3	5	0	97	7	0	5	4	1088	897	539	258	185
mmp19	6	6	1	3	0	70	18	8	1	44	3	56	28	14	25
suox	40	66	3	11	10	40	4	6	14	4	114	97	117	156	104
mcrs1	804	1091	475	406	594	775	235	112	113	268	1138	1021	712	538	314
LOC117815730	13	21	6	16	15	8	4	0	4	18	10	9	22	58	30
mettl1	817	1338	607	865	1021	1396	708	410	222	493	152	152	276	558	313
LOC117823554	2	0	3	3	7	11	1	4	5	10	19	9	33	140	72
cdk4	923	1556	522	774	954	1231	418	93	171	502	124	176	232	411	257
LOC117824251	1	0	2	1	0	3	2	0	12	0	10	10	12	69	15
LOC117817575	0	0	0	0	0	1	0	0	0	0	3	0	9	9	1
LOC117810035	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
LOC117809901	40	66	39	52	48	67	39	27	14	37	171	146	112	107	48
LOC117812765	463	386	578	413	591	192	390	140	223	509	102	63	189	238	124
znf740a	254	269	191	240	183	322	127	105	132	90	381	419	711	984	594
LOC117810124	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
smug1	50	49	20	55	95	49	20	7	15	21	69	62	85	188	69
calcoco1b	1	0	0	2	1	0	0	0	0	0	2	3	5	17	4
LOC117816854	15	10	1	5	3	11	1	5	3	2	10	3	17	21	30
LOC117820075	10	11	6	3	2	43	7	5	6	7	130	41	89	116	70
uroc1	15	6	19	22	42	19	22	4	5	6	69	53	91	51	23
LOC117815332	4	4	4	3	1	28	7	6	2	3	21	34	54	214	112
pfkfb4b	373	480	276	325	307	300	219	124	111	196	108	90	274	281	128
arpc4	443	927	646	410	604	560	550	487	390	480	235	175	254	355	230
LOC117813130	896	880	574	500	602	675	276	189	177	286	869	925	911	599	433
LOC117817769	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1
si:ch211-157b11.8	0	0	0	0	0	1	0	1	0	0	9	3	16	19	11
gata2b	1	0	0	0	0	1	0	0	1	0	9	11	14	30	14
eefsec	191	216	84	91	159	172	57	24	25	59	154	129	233	271	123
ruvbl1	931	900	868	872	950	1875	682	447	363	675	6068	5076	4548	2304	1909
mustn1a	6	22	2	4	0	124	12	7	7	2	118	98	80	315	163
rft1	83	86	40	81	39	92	38	9	14	36	210	169	164	157	93
prkcda	97	389	123	233	80	284	111	83	66	147	100	82	208	342	205
LOC117814012	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0
LOC117813977	10	10	3	0	1	23	3	3	4	4	20	18	18	80	19
ccdc174	415	384	450	370	437	263	134	42	74	221	287	284	392	490	242
tatdn2	827	686	556	447	607	1038	246	109	110	337	5613	3829	2801	1235	916
vhl	26	44	9	18	10	76	18	19	25	10	163	134	237	246	134
LOC117827902	1	6	1	2	0	6	0	0	0	0	20	3	8	55	20
crbn	282	255	279	208	279	179	185	171	103	232	187	199	288	430	248
LOC117819023	15494	37854	31952	31150	31416	53997	42787	56616	45203	35159	5816	9563	11682	17312	14390
pa2g4a	974	1428	708	521	974	1018	397	175	302	430	2531	1977	2424	1989	1361
erbb3a	0	1	0	0	0	5	4	0	4	0	17	6	31	134	31
LOC117820534	2	2	0	0	0	71	9	18	3	3	264	226	166	147	109
fkbp11	3	8	5	3	5	85	20	19	32	7	138	111	124	143	92
LOC117820543	5233	9720	7480	7864	7746	15963	9099	9706	7848	8234	2362	3757	5206	6490	5534
LOC117820491	350	336	399	330	462	209	240	91	106	283	677	454	300	194	121
rhebl1	471	897	303	257	326	1244	188	113	253	136	2050	1763	1852	2909	1864
